Category,numerator,denominator,standard_deviation
100M,6161917.040443479,22,529.2325936693396
100K,364176.99533666665,29,112.0617125757156
50K,412306.1496318182,65,79.64403011398407
20K,28337.201399999998,9,56.112190594676775
