Category,Race,meters_incline_per_hour
100M,"HARDROCK 100 ENDURANCE RUN  - 100MI CW",451.01
100K,"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - CCC®",437.87
100K,"HOKA HIGHLAND FLING  - 53 MILE ULTRA RACE",423.54
100M,"LA DIAGONALE DES FOUS ",412.17
100M,"LE GRAND RAID DE LA RÉUNION ",385.59
100K,"XTREME DODO TRAIL ",382.18
20K,"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 25 KM",377.48
100M,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",349.34
100M,"VALHOLL ARGENTINA BY UTMB  - EPIC 125K - ",341.97
100M,"WESTERN STATES ENDURANCE RUN  - WESTERN STATES 100-MILE ENDURANCE RUN",341.91
100K,"WEEK END DU TOUR DES GLACIERS DE LA VANOISE  - TGV 73K",307.08
50K,"LA SAINTÉLYON ",271.07
100K,"ROYAL RAID ILE MAURICE  - ROYAL RAID ILE MAURICE 80",258.79
