Category,average_percentile_overall,average_percentile_gender,standard_dev_overall,standard_dev_gender
100M,1.385500,1.540500,2.7744197141023923,2.9717107446721664
50K,1.868333,1.998636,3.663598819894356,3.738082836429794
100K,3.834333,5.313000,8.7124801992442,15.016569548335601
20K,8.054000,9.414000,16.29981361856632,17.940880803349653
