Race,count_z_scores,average_z_score
"TRAIL FAVERGES ICEBREAKER  - MARATRAIL DE LA SAMBUY",5,-0.65
"TRAIL NIVOLET REVARD  - TRAIL NIVOLET-REVARD",5,-0.25
"ERGYSPORT TRAIL DU VENTOUX  - 46 KM",4,-0.8
"FESTIVAL DES TEMPLIERS  - GRAND TRAIL DES TEMPLIERS",3,-1.01
"SIERRE-ZINAL ",2,-1.4
