Date,Race,z_score_minutes
2022-06-25,"WESTERN STATES ENDURANCE RUN 2022 - WESTERN STATES 100-MILE ENDURANCE RUN",-0.14054759450457344
2009-05-23,"LE GRAND RAID 73 2009",-0.14088122405095033
2011-08-21,"TRAIL GALIBIER THABOR 2011 - TRAIL DU GALIBIER",-0.14387605417033147
2016-10-29,"TRANS PENEDA GERÊS 2016 - TRAIL WORLD CHAMPIONSHIPS",-0.14627191826583635
2016-11-26,"MAXI-RACE CHINA 2016 - JIANGSHAN STATION 60K",-0.15371621027686946
2012-05-05,"TRAIL NIVOLET REVARD 2012 - TRAIL NIVOLET-REVARD",-0.18892956559793955
2020-10-11,"EDF TRAIL VALLÉES D'AIGUEBLANCHE 2020 - ÉCHAPEAUX BELLE",-0.2222318318789767
2012-08-05,"TRAIL CENIS TOUR 2012 - 50 KM",-0.22312116874935375
2015-05-30,"MAXI-RACE DU LAC D'ANNECY 2015 - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",-0.24150751606215648
2012-07-07,"ULTRA TRAIL DI CORSICA 2012 - RESTONICA TRAIL",-0.26435379154429256
2016-04-10,"TRAIL CHERAN SEMNOZ 2016",-0.27276468291485556
2020-07-25,"MONTREUX TRAIL FESTIVAL 2020 - MXTREME",-0.2785886361049763
2011-05-01,"TRAIL NIVOLET REVARD 2011 - TRAIL NIVOLET-REVARD",-0.2804870807033931
2017-06-10,"TRAIL SACRED FORESTS 2017 - IAUTWC-TRAIL WORLD CHAMPIONSHIPS",-0.2940370863967314
2024-05-10,"VALHOLL ARGENTINA BY UTMB 2024 - EPIC 125K - 2024",-0.33907939905121304
2014-07-12,"TRAIL VERBIER ST BERNARD 2014 - X-ALPINE SOLO",-0.342402430423539
2011-08-07,"TRAIL UBAYE SALOMON 2011",-0.3435515931826682
2022-11-05,"THE AMAZING THAILAND WMRC 2022 - CHIANGMAI WMTRC 2021 LONG",-0.3808954664756385
2011-07-02,"TRAIL VERBIER ST BERNARD 2011 - X-ALPINE SOLO",-0.3941412560926613
2010-05-02,"TRAIL NIVOLET REVARD 2010 - TRAIL NIVOLET-REVARD",-0.4004109628677977
2015-05-02,"TRAIL NIVOLET REVARD 2015 - TRAIL NIVOLET-REVARD",-0.41953293351914417
2019-04-27,"LA BOUILLONNANTE 2019 - LA BOUILLONNANTE 50",-0.46372874648152773
2017-07-23,"PORTO DA CRUZ NATURA 2017 - TRAIL LONGO",-0.47940459421398857
2025-03-09,"TRAIL DU VENTOUX 2025 - LE 46 ORIGINE",-0.4834838949690115
2013-06-15,"TRAIL FAVERGES ICEBREAKER 2013 - MARATRAIL DE LA SAMBUY",-0.4834838949690115
2013-06-15,"TRAIL FAVERGES ICEBREAKER 2013 - MARATRAIL DE LA SAMBUY",-0.4834838949690115
2025-04-25,"GRAND RAID VENTOUX BY UTMB 2025 - GRV - 100M",-0.5659922099114972
2017-07-02,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE 2017 - TGV 72K",-0.571794494942476
2011-06-18,"TRAIL FAVERGES ICEBREAKER 2011 - MARATRAIL DE LA SAMBUY",-0.5964428209359058
2010-08-08,"TRAIL UBAYE SALOMON 2010",-0.6593806978479534
2012-06-09,"TRAIL FAVERGES ICEBREAKER 2012 - MARATRAIL DE LA SAMBUY",-0.6612802313563653
2010-05-08,"ROYAL RAID ILE MAURICE 2010 - ROYAL RAID ILE MAURICE 80",-0.6643775289187728
2018-03-18,"ERGYSPORT TRAIL DU VENTOUX 2018 - 48 KM",-0.6728040679740641
2020-08-29,"TRAIL DES PASSERELLES DU MONTEYNARD 2020 - MARATRAIL DES PASSERELLES 42KM",-0.6869872515035397
2021-06-06,"ERGYSPORT TRAIL DU VENTOUX 2021 - 46 KM",-0.7095283824700276
