Date,Race,z_score_minutes
2018-08-29,"UTMB®  - TDS®",-2.03
2022-10-20,"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",-2.03
2017-10-19,"GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",-2.03
2007-08-12,"SIERRE-ZINAL ",-1.47
2008-08-10,"SIERRE-ZINAL ",-1.34
