Race,count_z_scores,average_z_score
"TRAIL SAINTE VICTOIRE ",5,0.62
"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",3,1.32
"LA SAINTÉLYON ",3,0.5
"UTMB® ",2,0.5
"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",2,0.43
